Grade;Area;Topic;Code;Description
 9-12;Advanced Solo and Ensemble Standards ;Apply criteria to evaluate artistic work;ASE.M.09; Develop a proposal for an installation, artwork, or digital space that transforms the perception and experience of a particular place. 
 9-12;Advanced Solo and Ensemble Standards ;Synthesize and relate knowledge and personal experiences to make art;ASE.M.Co.10;Describe how decisions about how a media artwork is presented are connected to what the student wants to express, evoke, or communicate. 
 9-12;Advanced Solo and Ensemble Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;ASE.M.Co.11;Analyze the style of a media artist, and how the style manifests itself in a given media artwork.
 9-12;Advanced General Music Standards ;Generate and conceptualize artistic ideas and work;AG.M.Cr.01; Identify artistic elements from a work that connect it to a specific genre or style. 
 9-12;Advanced General Music Standards ;Organize and develop artistic ideas and work;AG.M.Cr.02;Compare and contrast different rubrics or criteria for evaluating media artwork.
 9-12;Advanced General Music Standards ;Refine and complete artistic work;AG.M.Cr.03; Describe what has influenced changes in one?s own artistic style and preferences in media arts. 
 9-12;Advanced General Music Standards ;Select, analyze and interpret artistic work for presentation;AG.M.P.04;Identify the connections between historical and cultural context and defining stylistic elements of multiple media artworks (e.g., shifting styles due to the birth of computer animation).
 9-12;Advanced General Music Standards ;Develop and refine artistic techniques and work for presentation;AG.M.P.05;Consistently apply research to support development of artistic ideas. (e.g., a student researches different ways media artists have used background sound to emphasize surprise). 
 9-12;Advanced General Music Standards ;Convey meaning through the presentation of artistic work;AG.M.P.06;Independently document an original multi-part media arts idea (e.g. wireframe, story board). 
 9-12;Advanced General Music Standards ;Perceive and analyze artistic work;HS.AG.M.R.07;Refine draft arrangements for different audiences. 
 9-12;Advanced General Music Standards ;Interpret intent and meaning in artistic work;HS.AG.M.R.08; Explain how one uses specific techniques to evoke, express, or communicate ideas in a media arts work or collection of such works. 
 9-12;Advanced General Music Standards ;Apply criteria to evaluate artistic work;HS.AG.M.R.09;Contribute a work that explores a personally meaningful theme, idea, or concept to a media arts show (e.g., select work to include, develop feedback on presentation ideas). 
 9-12;Advanced General Music Standards ;Synthesize and relate knowledge and personal experiences to make art;AG.M.Co.10;Modify a media artwork to clarify its artistic intent by anticipating viewers? responses. 
 9-12;Advanced General Music Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;AG.M.Co.11;Analyze the qualities and relationships of components in various media artworks and consider how they impact an audience. 
 9-12;Foundations Theatre Course Standards ;Generate and conceptualize artistic ideas and work;F.T.Cr.01;Compare and contrast the artistic elements that make media arts unique from other artistic disciplines. 
